"accident_reference","longitude","latitude","police_force","date","local_authority_district","accident_severity","weather_conditions","road_surface_conditions","severity"
"100929083","-2.026679","55.025006","Northumbria Police","11/02/2020","Northumberland","Serious","Snowing and high winds.","Wet or Damp",2
"100929914","-1.611553","54.974023","Northumbria Police","12/02/2020","Newcastle upon Tyne","Slight","Snowing and high winds.","Wet or Damp",3
"100933183","-2.143474","55.041512","Northumbria Police","24/02/2020","Northumberland","Slight","Snowing no high winds.","Snow",3
"100933243","-1.604614","55.003117","Northumbria Police","24/02/2020","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100933285","-1.621872","55.041434","Northumbria Police","24/02/2020","North Tyneside","Slight","Snowing no high winds.","Snow",3
"100933556","-1.527834","54.995277","Northumbria Police","24/02/2020","North Tyneside","Slight","Snowing and high winds.","Frost or Ice",3
"100934621","-1.594526","55.084147","Northumbria Police","24/02/2020","Northumberland","Slight","Snowing no high winds.","Snow",3
"101010028","-1.414912","54.903243","Northumbria Police","24/12/2020","Sunderland","Serious","Snowing no high winds.","Wet or Damp",2
"101010210","-1.416845","54.973454","Northumbria Police","24/12/2020","South Tyneside","Slight","Snowing no high winds.","Wet or Damp",3
"101010256","-1.640553","54.950551","Northumbria Police","25/12/2020","Gateshead","Slight","Snowing no high winds.","Wet or Damp",3
"101010690","-1.436616","54.976162","Northumbria Police","24/12/2020","South Tyneside","Slight","Snowing no high winds.","Wet or Damp",3
"101011046","-1.637466","54.939578","Northumbria Police","30/12/2020","Gateshead","Slight","Snowing no high winds.","Frost or Ice",3
"101027173","-1.557521","55.129883","Northumbria Police","31/12/2020","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"110933841","-1.435808","54.739096","Durham Constabulary","24/02/2020","County Durham","Slight","Snowing no high winds.","Snow",3
"110933868","-1.588788","54.805725","Durham Constabulary","24/02/2020","County Durham","Slight","Snowing no high winds.","Snow",3
"110937820","-1.766661","54.601069","Durham Constabulary","13/02/2020","County Durham","Serious","Snowing no high winds.","Snow",2
"110937937","-1.352805","54.788953","Durham Constabulary","24/02/2020","County Durham","Slight","Snowing and high winds.","Snow",3
"110937992","-1.518029","54.643706","Durham Constabulary","25/02/2020","County Durham","Slight","Snowing no high winds.","Snow",3
"110940865","-1.557927","54.523597","Durham Constabulary","29/02/2020","Darlington","Slight","Snowing and high winds.","Wet or Damp",3
"111010252","-1.429768","54.642667","Durham Constabulary","24/12/2020","County Durham","Serious","Snowing no high winds.","Snow",2
"111010847","-1.697707","54.867952","Durham Constabulary","24/12/2020","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"170H10160","-1.292209","54.702963","Cleveland Police","24/02/2020","Hartlepool","Slight","Snowing and high winds.","Snow",3
"100355217","-1.407386","54.852865","Northumbria Police","17/01/2019","Sunderland","Slight","Snowing and high winds.","Snow",3
"100812356","-1.402501","54.87253","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing no high winds.","Snow",3
"100812389","-1.40708","54.897139","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing no high winds.","Frost or Ice",3
"100812507","-1.481281","54.995663","Northumbria Police","01/02/2019","North Tyneside","Slight","Snowing no high winds.","Frost or Ice",3
"100812524","-1.471635","54.840886","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing no high winds.","Frost or Ice",3
"100812633","-1.574205","55.07263","Northumbria Police","01/02/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"100812939","-1.443723","54.891418","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing and high winds.","Snow",3
"100823071","-1.63303","55.226119","Northumbria Police","02/02/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"100823844","-1.612751","54.979437","Northumbria Police","16/03/2019","Newcastle upon Tyne","Slight","Snowing and high winds.","Wet or Damp",3
"100829141","-1.549317","55.043642","Northumbria Police","03/04/2019","North Tyneside","Slight","Snowing no high winds.","Frost or Ice",3
"100829258","-1.726679","55.278922","Northumbria Police","04/04/2019","Northumberland","Fatal","Snowing no high winds.","Frost or Ice",1
"100835037","-2.493224","54.938981","Northumbria Police","09/03/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"100835053","-2.269671","54.914728","Northumbria Police","01/02/2019","Northumberland","Serious","Snowing no high winds.","Snow",2
"100898405","-2.272321","54.891385","Northumbria Police","11/11/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"110812491","-1.576316","54.878211","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110813169","-1.357346","54.83496","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Snow",3
"110813176","-1.519016","54.823954","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110813202","-1.593998","54.79185","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Snow",3
"110813225","-1.364161","54.739074","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Snow",3
"110813237","-1.676877","54.656563","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110813581","-1.569495","54.610784","Durham Constabulary","29/01/2019","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110813984","-1.608863","54.69523","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"170H10149","-1.221668","54.709253","Cleveland Police","01/02/2019","Hartlepool","Slight","Snowing no high winds.","Snow",3
"170H10199","-1.300712","54.646234","Cleveland Police","17/01/2019","Hartlepool","Slight","Snowing no high winds.","Snow",3
"170H10209","-1.221891","54.699207","Cleveland Police","01/02/2019","Hartlepool","Slight","Snowing no high winds.","Snow",3
"170L50139","-0.83535","54.56133","Cleveland Police","01/02/2019","Redcar and Cleveland","Serious","Snowing no high winds.","Snow",2
"170M10139","-1.27521","54.547309","Cleveland Police","31/01/2019","Middlesbrough","Slight","Snowing no high winds.","Wet or Damp",3
"170M10169","-1.270829","54.54855","Cleveland Police","01/02/2019","Middlesbrough","Slight","Snowing no high winds.","Snow",3
"170M20129","-1.195478","54.562749","Cleveland Police","01/02/2019","Middlesbrough","Slight","Snowing no high winds.","Snow",3
"170S30209","-1.290929","54.513628","Cleveland Police","01/02/2019","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"170S40179","-1.409046","54.520931","Cleveland Police","01/02/2019","Stockton-on-Tees","Slight","Snowing and high winds.","Snow",3
"100259031","-2.149609","55.709576","Northumbria Police","17/01/2018","Northumberland","Serious","Snowing no high winds.","Frost or Ice",2
"100259165","-2.065487","55.766651","Northumbria Police","16/01/2018","Northumberland","Serious","Snowing no high winds.","Snow",2
"100259171","-2.108978","54.992637","Northumbria Police","17/01/2018","Northumberland","Slight","Snowing and high winds.","Frost or Ice",3
"100259174","-1.853726","55.369463","Northumbria Police","16/01/2018","Northumberland","Slight","Snowing and high winds.","Frost or Ice",3
"100260129","-1.444413","54.863914","Northumbria Police","19/01/2018","Sunderland","Serious","Snowing no high winds.","Wet or Damp",2
"100260163","-2.109021","55.215613","Northumbria Police","16/01/2018","Northumberland","Serious","Snowing no high winds.","Snow",2
"100260195","-1.654945","55.089689","Northumbria Police","21/01/2018","Northumberland","Serious","Snowing no high winds.","Snow",2
"100260240","-1.632205","54.970628","Northumbria Police","21/01/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100260286","-1.94275","54.87783","Northumbria Police","19/01/2018","Northumberland","Serious","Snowing no high winds.","Frost or Ice",2
"100260301","-2.22781","55.646624","Northumbria Police","21/01/2018","Northumberland","Slight","Snowing and high winds.","Snow",3
"100260425","-1.700933","54.992419","Northumbria Police","21/01/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100264515","-1.389719","54.850072","Northumbria Police","04/02/2018","Sunderland","Serious","Snowing no high winds.","Snow",2
"100266611","-1.617468","54.982974","Northumbria Police","06/02/2018","Newcastle upon Tyne","Fatal","Snowing no high winds.","Wet or Damp",1
"100266810","-1.612407","54.972957","Northumbria Police","11/02/2018","Newcastle upon Tyne","Slight","Snowing and high winds.","Wet or Damp",3
"100267774","-2.264934","55.164155","Northumbria Police","13/02/2018","Northumberland","Slight","Snowing no high winds.","Snow",3
"100271556","-1.71139","55.027202","Northumbria Police","26/02/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Wet or Damp",3
"100272097","-1.439524","54.89741","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing no high winds.","Frost or Ice",3
"100272143","-1.489018","54.852786","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing no high winds.","Snow",3
"100272218","-1.762596","54.908822","Northumbria Police","27/02/2018","Gateshead","Serious","Snowing and high winds.","Snow",2
"100272354","-1.384149","54.918188","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing no high winds.","Wet or Damp",3
"100272402","-1.618917","54.963407","Northumbria Police","28/02/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Frost or Ice",3
"100272432","-1.563183","55.099674","Northumbria Police","28/02/2018","Northumberland","Slight","Snowing and high winds.","Snow",3
"100272585","-1.455419","54.883104","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing no high winds.","Snow",3
"100272596","-1.593812","55.242628","Northumbria Police","01/03/2018","Northumberland","Slight","Snowing and high winds.","Snow",3
"100272613","-1.41456","54.919983","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing no high winds.","Snow",3
"100272663","-2.021024","55.009228","Northumbria Police","01/03/2018","Northumberland","Slight","Snowing and high winds.","Snow",3
"100272732","-1.502714","54.905602","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing and high winds.","Snow",3
"100272750","-1.661542","54.96675","Northumbria Police","28/02/2018","Newcastle upon Tyne","Slight","Snowing and high winds.","Snow",3
"100272949","-1.721297","55.274103","Northumbria Police","01/03/2018","Northumberland","Serious","Snowing and high winds.","Snow",2
"100273038","-1.56341","55.203983","Northumbria Police","02/03/2018","Northumberland","Slight","Snowing no high winds.","Wet or Damp",3
"100273054","-2.070804","54.900459","Northumbria Police","01/03/2018","Northumberland","Serious","Snowing and high winds.","Snow",2
"100273267","-1.429316","54.924654","Northumbria Police","27/02/2018","Sunderland","Slight","Snowing no high winds.","Snow",3
"100274406","-1.622996","55.006787","Northumbria Police","03/03/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100276628","-2.110164","55.717453","Northumbria Police","02/03/2018","Northumberland","Slight","Snowing no high winds.","Snow",3
"100277205","-1.696992","54.973925","Northumbria Police","17/03/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100277427","-1.438314","54.959698","Northumbria Police","17/03/2018","South Tyneside","Slight","Snowing and high winds.","Frost or Ice",3
"100277475","-1.604351","55.001211","Northumbria Police","18/03/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Frost or Ice",3
"100277572","-1.599365","54.991705","Northumbria Police","17/03/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100278173","-1.406222","54.919439","Northumbria Police","18/03/2018","Sunderland","Slight","Snowing and high winds.","Snow",3
"100278432","-1.664052","54.929698","Northumbria Police","27/02/2018","Gateshead","Slight","Snowing no high winds.","Snow",3
"100318297","-1.570484","55.14374","Northumbria Police","02/03/2018","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100339397","-1.806164","55.581388","Northumbria Police","28/10/2018","Northumberland","Serious","Snowing no high winds.","Frost or Ice",2
"100351159","-1.663648","54.96707","Northumbria Police","15/12/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100351178","-1.573942","54.973358","Northumbria Police","15/12/2018","Newcastle upon Tyne","Slight","Snowing no high winds.","Frost or Ice",3
"100352988","-1.679361","55.13597","Northumbria Police","15/12/2018","Northumberland","Slight","Snowing and high winds.","Frost or Ice",3
"100355330","-1.674477","55.125138","Northumbria Police","15/12/2018","Northumberland","Slight","Snowing no high winds.","Snow",3
"110263884","-1.803847","54.580681","Durham Constabulary","16/01/2018","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110264116","-1.675743","54.559368","Durham Constabulary","18/01/2018","Darlington","Slight","Snowing no high winds.","Frost or Ice",3
"110264726","-1.523133","54.689586","Durham Constabulary","21/01/2018","County Durham","Serious","Snowing no high winds.","Snow",2
"110268828","-1.647733","54.662467","Durham Constabulary","06/02/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"110272675","-1.91905","54.547229","Durham Constabulary","13/02/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"110272724","-1.838091","54.895466","Durham Constabulary","14/02/2018","County Durham","Slight","Snowing and high winds.","Snow",3
"110272736","-1.689416","54.847882","Durham Constabulary","14/02/2018","County Durham","Slight","Snowing and high winds.","Frost or Ice",3
"110275113","-1.324567","54.757993","Durham Constabulary","27/02/2018","County Durham","Slight","Snowing and high winds.","Frost or Ice",3
"110275254","-1.716856","54.863487","Durham Constabulary","27/02/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"110275318","-1.640038","54.866573","Durham Constabulary","27/02/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"110275401","-1.682016","54.667522","Durham Constabulary","27/02/2018","County Durham","Serious","Snowing and high winds.","Snow",2
"110275417","-1.552211","54.482658","Durham Constabulary","27/02/2018","Darlington","Serious","Snowing no high winds.","Snow",2
"110275527","-1.516917","54.64602","Durham Constabulary","27/02/2018","County Durham","Slight","Snowing and high winds.","Snow",3
"110275837","-1.328672","54.720209","Durham Constabulary","01/03/2018","County Durham","Slight","Snowing and high winds.","Snow",3
"110275951","-1.99849","54.608949","Durham Constabulary","01/03/2018","County Durham","Slight","Snowing and high winds.","Snow",3
"110276498","-1.593911","54.61555","Durham Constabulary","02/03/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"110279979","-1.822515","54.84548","Durham Constabulary","16/03/2018","County Durham","Slight","Snowing and high winds.","Snow",3
"110283442","-1.900111","54.630791","Durham Constabulary","01/04/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"110284657","-1.55961","54.535196","Durham Constabulary","17/03/2018","Darlington","Slight","Snowing no high winds.","Snow",3
"110289179","-1.357764","54.772381","Durham Constabulary","01/03/2018","County Durham","Slight","Snowing and high winds.","Snow",3
"110343335","-1.352924","54.707409","Durham Constabulary","28/10/2018","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110808125","-1.365646","54.741436","Durham Constabulary","15/12/2018","County Durham","Slight","Snowing and high winds.","Frost or Ice",3
"110816020","-1.574622","54.868815","Durham Constabulary","27/02/2018","County Durham","Slight","Snowing no high winds.","Snow",3
"170H10058","-1.270804","54.637511","Cleveland Police","18/01/2018","Hartlepool","Slight","Snowing no high winds.","Frost or Ice",3
"170L10128","-1.021275","54.553935","Cleveland Police","06/02/2018","Redcar and Cleveland","Slight","Snowing no high winds.","Snow",3
"170L10208","-1.01155","54.557127","Cleveland Police","26/02/2018","Redcar and Cleveland","Slight","Snowing no high winds.","Dry",3
"170L10278","-0.987308","54.536408","Cleveland Police","17/03/2018","Redcar and Cleveland","Slight","Snowing and high winds.","Snow",3
"170L20238","-1.143005","54.557599","Cleveland Police","27/02/2018","Redcar and Cleveland","Slight","Snowing no high winds.","Wet or Damp",3
"170L20308","-1.156415","54.557423","Cleveland Police","17/03/2018","Redcar and Cleveland","Serious","Snowing and high winds.","Snow",2
"170L21078","-1.137498","54.55622","Cleveland Police","27/10/2018","Redcar and Cleveland","Serious","Snowing no high winds.","Snow",2
"170M30408","-1.232822","54.520922","Cleveland Police","02/03/2018","Middlesbrough","Slight","Snowing no high winds.","Frost or Ice",3
"170S10028","-1.435069","54.540584","Cleveland Police","18/01/2018","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"170S10048","-1.330474","54.577626","Cleveland Police","19/01/2018","Stockton-on-Tees","Slight","Snowing no high winds.","Frost or Ice",3
"170S10058","-1.336077","54.574592","Cleveland Police","06/02/2018","Stockton-on-Tees","Slight","Snowing no high winds.","Wet or Damp",3
"170S10268","-1.311148","54.562213","Cleveland Police","18/03/2018","Stockton-on-Tees","Slight","Snowing and high winds.","Snow",3
"170S20078","-1.214988","54.617895","Cleveland Police","06/02/2018","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"170S40208","-1.342684","54.535049","Cleveland Police","27/02/2018","Stockton-on-Tees","Slight","Snowing no high winds.","Wet or Damp",3
"100154073","-1.756477","55.01596","Northumbria Police","09/02/2017","Northumberland","Slight","Snowing no high winds.","Wet or Damp",3
"100154376","-1.596573","55.103366","Northumbria Police","09/02/2017","Northumberland","Slight","Snowing no high winds.","Wet or Damp",3
"100154384","-1.447127","54.865957","Northumbria Police","09/02/2017","Sunderland","Fatal","Snowing no high winds.","Wet or Damp",1
"100154844","-1.909529","55.224417","Northumbria Police","10/02/2017","Northumberland","Serious","Snowing no high winds.","Frost or Ice",2
"100158881","-2.162248","55.1293","Northumbria Police","27/02/2017","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100186784","-1.38333","54.911552","Northumbria Police","10/02/2017","Sunderland","Slight","Snowing no high winds.","Wet or Damp",3
"100191874","-1.622771","55.029045","Northumbria Police","05/02/2017","Newcastle upon Tyne","Slight","Snowing no high winds.","Wet or Damp",3
"100244756","-1.705735","54.966074","Northumbria Police","30/11/2017","Gateshead","Slight","Snowing no high winds.","Snow",3
"100244802","-1.412112","54.987342","Northumbria Police","30/11/2017","South Tyneside","Slight","Snowing no high winds.","Snow",3
"100244975","-1.609863","55.097002","Northumbria Police","01/12/2017","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100245177","-1.430171","55.002111","Northumbria Police","30/11/2017","South Tyneside","Slight","Snowing no high winds.","Snow",3
"100245198","-1.582475","54.941334","Northumbria Police","30/11/2017","Gateshead","Slight","Snowing no high winds.","Snow",3
"100245216","-2.022192","55.000107","Northumbria Police","01/12/2017","Northumberland","Slight","Snowing no high winds.","Snow",3
"100246640","-2.194978","55.081204","Northumbria Police","01/12/2017","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100247943","-1.845762","55.681071","Northumbria Police","11/12/2017","Northumberland","Slight","Snowing no high winds.","Snow",3
"100248031","-1.534428","55.000955","Northumbria Police","11/12/2017","North Tyneside","Serious","Snowing no high winds.","Frost or Ice",2
"100249726","-1.632037","55.124146","Northumbria Police","11/12/2017","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100252877","-1.489075","54.918557","Northumbria Police","29/12/2017","Sunderland","Slight","Snowing no high winds.","Frost or Ice",3
"100252879","-1.568562","55.080374","Northumbria Police","29/12/2017","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100253105","-1.765796","55.273594","Northumbria Police","29/12/2017","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100253117","-1.60466","55.15888","Northumbria Police","29/12/2017","Northumberland","Slight","Snowing no high winds.","Snow",3
"100253725","-1.558513","54.90712","Northumbria Police","29/12/2017","Gateshead","Slight","Snowing no high winds.","Snow",3
"100272482","-1.617603","55.100325","Northumbria Police","19/11/2017","Northumberland","Serious","Snowing no high winds.","Wet or Damp",2
"110147315","-1.517895","54.715294","Durham Constabulary","01/01/2017","County Durham","Slight","Snowing no high winds.","Snow",3
"110147559","-1.375887","54.838103","Durham Constabulary","01/01/2017","County Durham","Slight","Snowing and high winds.","Frost or Ice",3
"110160679","-1.714448","54.864766","Durham Constabulary","09/02/2017","County Durham","Slight","Snowing no high winds.","Snow",3
"110161217","-1.323912","54.714242","Durham Constabulary","10/02/2017","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110161272","-1.975243","54.518405","Durham Constabulary","12/02/2017","County Durham","Slight","Snowing and high winds.","Snow",3
"110161714","-2.008502","54.520466","Durham Constabulary","10/02/2017","County Durham","Slight","Snowing and high winds.","Wet or Damp",3
"110161773","-1.547628","54.78855","Durham Constabulary","10/02/2017","County Durham","Fatal","Snowing no high winds.","Wet or Damp",1
"110163231","-1.318643","54.761887","Durham Constabulary","25/02/2017","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110248869","-1.520851","54.54312","Durham Constabulary","01/12/2017","Darlington","Serious","Snowing no high winds.","Frost or Ice",2
"110253500","-1.589131","54.719519","Durham Constabulary","29/11/2017","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110253554","-1.816201","54.867694","Durham Constabulary","30/11/2017","County Durham","Slight","Snowing no high winds.","Snow",3
"110253612","-1.743948","54.851137","Durham Constabulary","30/11/2017","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110253656","-1.605063","54.76871","Durham Constabulary","30/11/2017","County Durham","Slight","Snowing and high winds.","Snow",3
"110253693","-1.454595","54.696711","Durham Constabulary","30/11/2017","County Durham","Slight","Snowing no high winds.","Snow",3
"110253746","-1.594663","54.784456","Durham Constabulary","30/11/2017","County Durham","Slight","Snowing no high winds.","Snow",3
"110255229","-1.561992","54.527845","Durham Constabulary","30/11/2017","Darlington","Slight","Snowing no high winds.","Wet or Damp",3
"110261965","-1.398227","54.798497","Durham Constabulary","29/12/2017","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110261999","-1.363168","54.813289","Durham Constabulary","30/12/2017","County Durham","Slight","Snowing no high winds.","Snow",3
"110263322","-1.786924","54.841128","Durham Constabulary","29/12/2017","County Durham","Fatal","Snowing no high winds.","Snow",1
"170H10117","-1.239254","54.647787","Cleveland Police","10/02/2017","Hartlepool","Slight","Snowing and high winds.","Wet or Damp",3
"170H11097","-1.238344","54.708083","Cleveland Police","30/11/2017","Hartlepool","Slight","Snowing no high winds.","Frost or Ice",3
"170L10077","-0.989478","54.527403","Cleveland Police","13/01/2017","Redcar and Cleveland","Slight","Snowing no high winds.","Snow",3
"170M12217","-1.247821","54.567273","Cleveland Police","10/12/2017","Middlesbrough","Slight","Snowing no high winds.","Snow",3
"170M12477","-1.256207","54.542431","Cleveland Police","29/12/2017","Middlesbrough","Slight","Snowing no high winds.","Snow",3
"170S12367","-1.316245","54.55241","Cleveland Police","30/11/2017","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"170S12457","-1.369642","54.559709","Cleveland Police","10/12/2017","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"100011816","-1.446329","54.864139","Northumbria Police","14/01/2016","Sunderland","Slight","Snowing no high winds.","Snow",3
"100012916","-1.447644","54.927537","Northumbria Police","14/01/2016","Sunderland","Slight","Snowing no high winds.","Snow",3
"100015016","-1.563214","54.901416","Northumbria Police","14/01/2016","Gateshead","Slight","Snowing and high winds.","Snow",3
"100015616","-2.126344","55.105847","Northumbria Police","08/01/2016","Northumberland","Slight","Snowing no high winds.","Snow",3
"100017316","-1.425647","54.98955","Northumbria Police","14/01/2016","South Tyneside","Slight","Snowing and high winds.","Snow",3
"100022316","-1.448235","54.925356","Northumbria Police","14/01/2016","Sunderland","Slight","Snowing no high winds.","Wet or Damp",3
"100023216","-2.237721","55.26131","Northumbria Police","08/01/2016","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100023316","-2.246276","55.265508","Northumbria Police","08/01/2016","Northumberland","Slight","Snowing no high winds.","Snow",3
"100026716","-1.476662","54.852267","Northumbria Police","14/01/2016","Sunderland","Slight","Snowing no high winds.","Snow",3
"100062198","-1.405791","54.852373","Northumbria Police","27/04/2016","Sunderland","Slight","Snowing no high winds.","Wet or Damp",3
"100081016","-1.725069","55.330469","Northumbria Police","02/02/2016","Northumberland","Slight","Snowing no high winds.","Dry",3
"100087216","-1.580258","54.941906","Northumbria Police","13/02/2016","Gateshead","Slight","Snowing no high winds.","Snow",3
"100087755","-1.635436","55.064794","Northumbria Police","20/07/2016","North Tyneside","Slight","Snowing no high winds.","Wet or Damp",3
"100091616","-1.748719","55.521134","Northumbria Police","14/02/2016","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"100098016","-2.094369","55.589807","Northumbria Police","13/02/2016","Northumberland","Slight","Snowing no high winds.","Snow",3
"100126416","-2.031036","55.031673","Northumbria Police","13/02/2016","Northumberland","Slight","Snowing no high winds.","Snow",3
"100144716","-1.54225","54.954063","Northumbria Police","14/01/2016","Gateshead","Slight","Snowing and high winds.","Snow",3
"10P079016","-1.917861","54.978243","Northumbria Police","13/02/2016","Northumberland","Slight","Snowing no high winds.","Wet or Damp",3
"110060643","-1.834646","54.853058","Durham Constabulary","15/04/2016","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110062140","-1.818005","54.857725","Durham Constabulary","15/04/2016","County Durham","Serious","Snowing no high winds.","Wet or Damp",2
"11SA00916","-1.678508","54.6519","Durham Constabulary","17/01/2016","County Durham","Serious","Snowing no high winds.","Wet or Damp",2
"11SB03666","-2.264775","54.780279","Durham Constabulary","07/02/2016","County Durham","Slight","Snowing and high winds.","Snow",3
"11SB04296","-1.750863","54.731774","Durham Constabulary","13/02/2016","County Durham","Slight","Snowing no high winds.","Snow",3
"11SJ00196","-1.502849","54.519385","Durham Constabulary","04/01/2016","Darlington","Slight","Snowing and high winds.","Wet or Damp",3
"11SJ05186","-1.666887","54.598369","Durham Constabulary","14/02/2016","Darlington","Slight","Snowing no high winds.","Wet or Damp",3
"11SK01066","-1.444323","54.716495","Durham Constabulary","13/01/2016","County Durham","Slight","Snowing no high winds.","Snow",3
"170L10076","-1.068535","54.533662","Cleveland Police","14/01/2016","Redcar and Cleveland","Slight","Snowing no high winds.","Snow",3
"170L10266","-0.96341","54.525231","Cleveland Police","15/02/2016","Redcar and Cleveland","Slight","Snowing and high winds.","Frost or Ice",3
"170L11336","-1.000516","54.567946","Cleveland Police","05/11/2016","Redcar and Cleveland","Slight","Snowing no high winds.","Wet or Damp",3
"170M30646","-1.207128","54.509018","Cleveland Police","14/02/2016","Middlesbrough","Slight","Snowing and high winds.","Snow",3
"170S10396","-1.349811","54.590539","Cleveland Police","15/02/2016","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"170S10426","-1.413669","54.584781","Cleveland Police","15/02/2016","Stockton-on-Tees","Slight","Snowing no high winds.","Frost or Ice",3
"100917573","-1.807653","55.314786","Northumbria Police","10/01/2020","Northumberland","Slight","Fine no high winds.","Frost or Ice",3
